date	land	jeju	total
2001. 4. 1			51
2001. 5. 1			53
2001. 6. 1			51
2001. 7. 1			47
2001. 8. 1			42
2001. 9. 1			45
2001. 10. 1			47
2001. 11. 1			47
2001. 12. 1			56
2002. 1. 1			58
2002. 2. 1			52
2002. 3. 1			51
2002. 4. 1			47
2002. 5. 1			48
2002. 6. 1			39
2002. 7. 1			40
2002. 8. 1			36
2002. 9. 1			41
2002. 10. 1			46
2002. 11. 1			54
2002. 12. 1			54
2003. 1. 1			55
2003. 2. 1			55
2003. 3. 1			57
2003. 4. 1			56
2003. 5. 1			57
2003. 6. 1			50
2003. 7. 1			40
2003. 8. 1			38
2003. 9. 1			43
2003. 10. 1			47
2003. 11. 1			51
2003. 12. 1			56
2004. 1. 1			55
2004. 2. 1			60
2004. 3. 1			60
2004. 4. 1			57
2004. 5. 1			54
2004. 6. 1			52
2004. 7. 1			50
2004. 8. 1			47
2004. 9. 1			50
2004. 10. 1			59
2004. 11. 1			61
2004. 12. 1			64
2005. 1. 1			67
2005. 2. 1			63
2005. 3. 1			62
2005. 4. 1			52
2005. 5. 1			47
2005. 6. 1			53
2005. 7. 1			55
2005. 8. 1			54
2005. 9. 1			63
2005. 10. 1			64
2005. 11. 1			76
2005. 12. 1			81
2006. 1. 1			81
2006. 2. 1			83
2006. 3. 1			85
2006. 4. 1			83
2006. 5. 1			82
2006. 6. 1			72
2006. 7. 1			65
2006. 8. 1			74
2006. 9. 1			74
2006. 10. 1			70
2006. 11. 1			88
2006. 12. 1			90
2007. 1. 1			86
2007. 2. 1			83
2007. 3. 1			89
2007. 4. 1			83
2007. 5. 1			81
2007. 6. 1			82
2007. 7. 1			76
2007. 8. 1			75
2007. 9. 1			72
2007. 10. 1			86
2007. 11. 1			91
2007. 12. 1			98
2008. 1. 1			106
2008. 2. 1			107
2008. 3. 1			110
2008. 4. 1			111
2008. 5. 1			108
2008. 6. 1			106
2008. 7. 1			118
2008. 8. 1			105
2008. 9. 1			129
2008. 10. 1			144
2008. 11. 1			161
2008. 12. 1			167
2009. 1. 1			159
2009. 2. 1			161
2009. 3. 1			126
2009. 4. 1			114
2009. 5. 1			94
2009. 6. 1			74
2009. 7. 1			66
2009. 8. 1			76
2009. 9. 1			80
2009. 10. 1			84
2009. 11. 1			104
2009. 12. 1			117
2010. 1. 1	122	160	123
2010. 2. 1	120	158	121
2010. 3. 1	121	160	121
2010. 4. 1	115	155	115
2010. 5. 1	115	156	116
2010. 6. 1	114	159	115
2010. 7. 1	114	162	115
2010. 8. 1	120	162	120
2010. 9. 1	116	161	116
2010. 10. 1	112	159	112
2010. 11. 1	105	153	106
2010. 12. 1	131	164	131
2011. 1. 1	132	173	132
2011. 2. 1	123	178	123
2011. 3. 1	123	177	124
2011. 4. 1	117	190	118
2011. 5. 1	117	211	118
2011. 6. 1	119	236	120
2011. 7. 1	119	228	120
2011. 8. 1	116	230	117
2011. 9. 1	133	227	134
2011. 10. 1	123	223	124
2011. 11. 1	140	229	141
2011. 12. 1	146	239	147
2012. 1. 1	147	249	148
2012. 2. 1	159	248	160
2012. 3. 1	177	255	178
2012. 4. 1	157	252	158
2012. 5. 1	171	264	171
2012. 6. 1	178	256	178
2012. 7. 1	185	244	185
2012. 8. 1	160	226	161
2012. 9. 1	133	230	134
2012. 10. 1	150	250	150
2012. 11. 1	138	255	139
2012. 12. 1	165	228	165
2013. 1. 1	152	214	152
2013. 2. 1	150	211	151
2013. 3. 1	152	211	152
2013. 4. 1	163	219	163
2013. 5. 1	150	218	151
2013. 6. 1	158	215	158
2013. 7. 1	155	215	155
2013. 8. 1	153	231	154
2013. 9. 1	136	211	137
2013. 10. 1	155	207	156
2013. 11. 1	145	208	145
2013. 12. 1	149	204	150
2014. 1. 1	143	202	143
2014. 2. 1	153	204	154
2014. 3. 1	163	208	163
2014. 4. 1	151	210	151
2014. 5. 1	144	199	145
2014. 6. 1	136	195	136
2014. 7. 1	142	195	143
2014. 8. 1	128	194	129
2014. 9. 1	131	190	131
2014. 10. 1	132	195	132
2014. 11. 1	133	192	134
2014. 12. 1	144	171	144
2015. 1. 1	141	164	141
2015. 2. 1	121	137	121
2015. 3. 1	118	118	118
2015. 4. 1	103	132	104
2015. 5. 1	96	131	97
2015. 6. 1	84	132	85
2015. 7. 1	82	134	82
2015. 8. 1	88	134	89
2015. 9. 1	91	118	91
2015. 10. 1	98	104	98
2015. 11. 1	95	99	95
2015. 12. 1	95	101	95
2016. 1. 1	91	98	91
2016. 2. 1	88	88	88
2016. 3. 1	87	84	87
2016. 4. 1	75	77	75
2016. 5. 1	69	76	69
2016. 6. 1	65	83	65
2016. 7. 1	67	94	67
2016. 8. 1	71	101	72
2016. 9. 1	71	97	72
2016. 10. 1	73	96	73
2016. 11. 1	75	98	75
2016. 12. 1	87	104	87
2017. 1. 1	86	106	86
2017. 2. 1	91	121	91
2017. 3. 1	92	130	92
2017. 4. 1	75	121	75
2017. 5. 1	79	118	79
2017. 6. 1	82	124	83
2017. 7. 1	76	124	77
2017. 8. 1	76	121	76
2017. 9. 1	73	112	73
2017. 10. 1	72	116	73
2017. 11. 1			81
2017. 12. 1			91
