date,land_or_jeju,average_price,lowest_price,highest_price,success_amounts,sucess_deals,transaction_money,sell_amount,sell_deals,buy_amount,buy_deals,,,,,,,,,,
2017-03-28,land,118874,117500,120000,2239,,,,,,,,,,,,,,,,
2017-03-28,jeju,107197,106900,109000,329,,,,,,,,,,,,,,,,
2017-03-28,total,120000,,,2568,,,,,,,,,,,,,,,,
2017-03-30,land,119516,115000,121300,10669,,,,,,,,,,,,,,,,
2017-03-30,jeju,106944,104800,107800,844,,,,,,,,,,,,,,,,
2017-03-30,total,120100,,,11513,,,,,,,,,,,,,,,,
2017-04-4,land,122463,115500,125200,12539,,,,,,,,,,,,,,,,
2017-04-4,jeju,110859,108900,112400,863,,,,,,,,,,,,,,,,
2017-04-4,total,123800,,,13402,,,,,,,,,,,,,,,,
2017-04-6,land,124245,120000,125000,12436,,,,,,,,,,,,,,,,
2017-04-6,jeju,113800,113800,113800,17,,,,,,,,,,,,,,,,
2017-04-6,total,124000,,,12453,,,,,,,,,,,,,,,,
2017-04-11,land,124888,126200,122500,12213,,,,,,,,,,,,,,,,
2017-04-11,jeju,111191,103800,114800,69,,,,,,,,,,,,,,,,
2017-04-11,total,124900,,,12282,,,,,,,,,,,,,,,,
2017-04-13,land,123513,119100,125100,13035,,,,,,,,,,,,,,,,
2017-04-13,jeju,113770,105800,114000,986,,,,,,,,,,,,,,,,
2017-04-13,total,120800,,,14021,,,,,,,,,,,,,,,,
2017-04-18,land,124176,120000,125100,18099,,,,,,,,,,,,,,,,
2017-04-18,jeju,110646,108900,112100,409,,,,,,,,,,,,,,,,
2017-04-18,total,125000,,,18508,,,,,,,,,,,,,,,,
2017-04-20,land,127628,122100,130000,21180,,,,,,,,,,,,,,,,
2017-04-20,jeju,112034,108000,118800,1079,,,,,,,,,,,,,,,,
2017-04-20,total,127600,,,22259,,,,,,,,,,,,,,,,
2017-04-25,land,128072,117000,130000,14911,,,,,,,,,,,,,,,,
2017-04-25,jeju,114895,97800,118800,1543,,,,,,,,,,,,,,,,
2017-04-25,total,130000,,,16454,,,,,,,,,,,,,,,,
2017-04-27,land,125998,120000,130000,8113,,,,,,,,,,,,,,,,
2017-04-27,jeju,116800,116800,116800,36,,,,,,,,,,,,,,,,
2017-04-27,total,121000,,,8149,,,,,,,,,,,,,,,,
2017-05-2,land,128288,118000,130500,11451,,,,,,,,,,,,,,,,
2017-05-2,jeju,120907,117600,121000,2860,,,,,,,,,,,,,,,,
2017-05-2,total,125500,,,14311,,,,,,,,,,,,,,,,
2017-05-4,land,129858,120000,131000,13040,,,,,,,,,,,,,,,,
2017-05-4,jeju,117782,110700,119300,333,,,,,,,,,,,,,,,,
2017-05-4,total,130000,,,13373,,,,,,,,,,,,,,,,
2017-05-11,land,129882,120000,130500,36987,,,,,,,,,,,,,,,,
2017-05-11,jeju,117285,110800,121000,740,,,,,,,,,,,,,,,,
2017-05-11,total,130000,,,37727,,,,,,,,,,,,,,,,
2017-05-16,land,132472,130000,133500,43153,,,,,,,,,,,,,,,,
2017-05-16,jeju,119246,112800,121800,206,,,,,,,,,,,,,,,,
2017-05-16,total,132300,,,43359,,,,,,,,,,,,,,,,
2017-05-18,land,132387,129500,134000,9305,,,,,,,,,,,,,,,,
2017-05-18,jeju,117000,117000,117000,80,,,,,,,,,,,,,,,,
2017-05-18,total,129500,,,9385,,,,,,,,,,,,,,,,
2017-05-23,land,132330,128000,133000,94,,,,,,,,,,,,,,,,
2017-05-23,jeju,119032,115800,120800,43385,,,,,,,,,,,,,,,,
2017-05-23,total,129200,,,43479,,,,,,,,,,,,,,,,
2017-05-25,land,132100,128100,133000,,,,,,,,,,,,,,,,,
2017-05-25,jeju,119633,119300,120800,,,,,,,,,,,,,,,,,
2017-05-25,total,132000,,,42430,99,,,,,,,,,,,,,,,
2017-05-30,land,130445,128000,132000,11530,158,,245653,1556,,,,,,,,,,,,
2017-05-30,jeju,120700,120700,120700,11,1,,5978,36,,,,,,,,,,,,
2017-05-30,total,128000,,,11541,159,1505368100,251631,1592,16537,32,,,,,,,,,,
2017-06-1,land,130037,125000,131000,14899,274,,156778,1374,,,,,,,,,,,,
2017-06-1,jeju,115605,110800,120000,473,7,,3383,29,,,,,,,,,,,,
2017-06-1,total,130000,,,15372,281,1992110600,160161,1403,20316,20,,,,,,,,,,
2017-06-8,land,132362,120000,133500,135260,588,,283418,1614,,,,,,,,,,,,
2017-06-8,jeju,120791,110800,124000,2578,27,,5611,58,,,,,,,,,,,,
2017-06-8,total,133500,,,137838,615,18214692900,289029,1672,204358,128,,,,,,,,,,
2017-06-13,land,126757,125500,129000,2231,34,,185603,1259,,,,,,,,,,,,
2017-06-13,jeju,115300,115300,115300,114,1,,6772,33,,,,,,,,,,,,
2017-06-13,total,115300,,,2345,35,295940200,192375,1292,7992,12,,,,,,,,,,
2017-06-15,land,128969,119000,130000,16198,190,,192491,1190,,,,,,,,,,,,
2017-06-15,jeju,115289,109800,118800,48,9,,7711,39,,,,,,,,,,,,
2017-06-15,total,119000,,,73130,199,2119942500,200692,1229,32093,17,,,,,,,,,,
2017-06-20,land,129341,123000,129500,73082,147,,321491,1337,,,,,,,,,,,,
2017-06-20,jeju,118866,117700,120500,48,2,,7891,32,,,,,,,,,,,,
2017-06-20,total,129000,,,73130,149,9458208800,329382,1369,158200,61,,,,,,,,,,
2017-06-22,land,124159,120000,125000,3289,58,,155474,1168,,,,,,,,,,,,
2017-06-22,jeju,112800,112800,112800,61,1,,8272,39,,,,,,,,,,,,
2017-06-22,total,125000,,,3350,59,415242800,163746,1207,11990,11,,,,,,,,,,
2017-06-27,land,124708,110000,126100,5327,114,,169666,1412,,,,,,,,,,,,
2017-06-27,jeju,,,,0,0,,6669,39,,,,,,,,,,,,
